fecha,n1,n2,n3,n4,n5,bonus
2025-01-18,5,12,23,31,42,8
2025-01-15,8,15,22,35,41,14
2025-01-13,3,11,19,28,39,6
2025-01-11,7,14,25,32,43,12
2025-01-08,10,18,27,36,40,9
2025-01-06,2,9,17,29,38,5
2025-01-04,6,13,21,34,42,11
2025-01-01,4,16,24,33,41,7
2024-12-30,1,8,20,30,37,13
2024-12-28,9,17,26,35,43,10
2024-12-25,5,12,19,31,39,4
2024-12-23,11,18,28,36,42,15
2024-12-21,3,10,22,32,40,8
2024-12-18,7,15,25,34,43,12
2024-12-16,2,14,23,33,41,6
2024-12-14,8,16,27,37,42,14
2024-12-11,4,11,20,29,38,9
2024-12-09,6,13,24,35,43,11
2024-12-07,9,17,26,32,40,16
2024-12-04,1,12,21,30,39,5
2024-12-02,5,14,23,34,41,10
2024-11-30,10,18,28,36,42,13
2024-11-27,3,8,19,31,38,7
2024-11-25,7,15,25,33,43,12
2024-11-23,2,11,22,35,40,8
2024-11-20,6,16,27,37,41,15
2024-11-18,4,13,24,32,39,9
2024-11-16,9,17,26,34,42,14
2024-11-13,1,10,20,30,38,6
2024-11-11,5,14,23,31,43,11
2024-11-09,8,18,28,36,40,16
2024-11-06,3,12,21,33,41,7
2024-11-04,7,15,25,35,42,13
2024-11-02,2,11,19,29,39,5
2024-10-30,6,16,27,37,43,12
2024-10-28,10,17,26,32,40,9
2024-10-26,4,13,22,34,41,14
2024-10-23,1,9,20,31,38,8
2024-10-21,5,14,24,35,42,10
2024-10-19,8,18,28,36,43,15
2024-10-16,3,11,23,33,39,6
2024-10-14,7,15,25,32,40,11
2024-10-12,2,12,21,30,41,7
2024-10-09,6,16,27,37,42,13
2024-10-07,9,17,26,34,43,16
2024-10-05,4,10,19,29,38,9
2024-10-02,1,13,22,31,40,5
2024-09-30,5,14,24,35,41,12
2024-09-28,8,18,28,36,42,14
2024-09-25,3,11,20,32,39,8





