fecha,n1,n2,n3,n4,n5,bonus
2025-01-17,7,14,28,42,63,18
2025-01-14,11,23,35,48,69,21
2025-01-10,4,17,31,44,58,12
2025-01-07,9,20,36,51,65,19
2025-01-03,2,15,29,43,56,8
2024-12-31,6,18,32,49,68,24
2024-12-27,10,22,38,53,67,16
2024-12-24,3,16,27,41,60,11
2024-12-20,8,19,33,47,62,23
2024-12-17,5,21,37,52,66,14
2024-12-13,12,24,39,55,69,20
2024-12-10,1,13,26,40,57,9
2024-12-06,7,17,30,45,61,17
2024-12-03,4,18,34,50,64,13
2024-11-29,9,23,38,54,68,22
2024-11-26,6,14,28,42,59,10
2024-11-22,11,20,35,48,65,25
2024-11-19,2,16,29,43,56,7
2024-11-15,8,21,36,51,67,19
2024-11-12,5,19,32,46,62,15
2024-11-08,10,24,39,53,69,21
2024-11-05,3,15,27,41,58,12
2024-11-01,7,18,31,47,63,18
2024-10-29,12,22,37,52,66,24
2024-10-25,4,16,30,44,60,11
2024-10-22,9,20,34,49,64,16
2024-10-18,1,14,28,42,57,8
2024-10-15,6,17,33,48,68,20
2024-10-11,11,23,38,54,69,23
2024-10-08,5,19,32,45,61,13
2024-10-04,8,21,36,50,65,17
2024-10-01,2,13,26,40,56,9
2024-09-27,7,18,31,46,62,22
2024-09-24,10,24,37,53,67,25
2024-09-20,3,15,29,43,59,10
2024-09-17,9,22,35,51,66,19
2024-09-13,4,16,28,44,58,14
2024-09-10,6,20,33,49,63,12
2024-09-06,11,19,34,47,60,21
2024-09-03,1,17,30,42,55,7
2024-08-30,8,23,38,52,68,18
2024-08-27,5,14,27,41,57,11
2024-08-23,12,21,36,50,69,24
2024-08-20,2,15,29,44,61,16
2024-08-16,7,18,32,48,64,20
2024-08-13,10,24,37,53,67,23
2024-08-09,3,16,28,43,56,8
2024-08-06,9,22,35,51,65,19
2024-08-02,4,17,31,46,62,13
2024-07-30,6,19,34,49,66,17




